행정구역(시군구)별,2023.03,2023.03,2023.03,2023.04,2023.04,2023.04,2023.05,2023.05,2023.05
행정구역(시군구)별,총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명),총인구수 (명),남자인구수 (명),여자인구수 (명)
울주군,221056,114360,106696,221031,114394,106637,220851,114321,106530
세종특별자치시,385609,192212,193397,385825,192316,193509,386050,192393,193657
세종시,385609,192212,193397,385825,192316,193509,386050,192393,193657
경기도,13603546,6845505,6758041,13607919,6847848,6760071,13612597,6850133,6762464
수원시,1192225,600239,591986,1191821,600021,591800,1191505,599765,591740
장안구,269403,135528,133875,269189,135398,133791,268813,135191,133622
권선구,367618,185722,181896,367324,185585,181739,367779,185774,182005
팔달구,193363,97354,96009,193392,97384,96008,193202,97304,95898
영통구,361841,181635,180206,361916,181654,180262,361711,181496,180215
성남시,923416,457196,466220,923344,457190,466154,922914,456920,465994
수정구,229199,116267,112932,230244,116792,113452,230761,117031,113730
중원구,214471,108358,106113,214304,108292,106012,214139,108154,105985
분당구,479746,232571,247175,478796,232106,246690,478014,231735,246279
의정부시,462637,227427,235210,462374,227301,235073,462329,227237,235092
안양시,547320,270396,276924,546781,270160,276621,546226,269932,276294
만안구,234052,116907,117145,233685,116717,116968,233383,116598,116785
동안구,313268,153489,159779,313096,153443,159653,312843,153334,159509
부천시,787813,389786,398027,788179,389997,398182,787821,389808,398013
광명시,285198,140204,144994,283849,139523,144326,282786,138932,143854
평택시,583029,305849,277180,584126,306543,277583,584986,307104,277882
송탄출장소,0,0,0,0,0,0,0,0,0
안중출장소,0,0,0,0,0,0,0,0,0
동두천시,90582,45205,45377,90460,45117,45343,90099,44930,45169
안산시,638264,327172,311092,637480,326747,310733,636633,326347,310286
상록구,342162,174536,167626,341263,174089,167174,340375,173666,166709
단원구,296102,152636,143466,296217,152658,143559,296258,152681,143577
고양시,1077909,526169,551740,1078025,526192,551833,1077963,526075,551888
덕양구,495181,243564,251617,495916,243932,251984,496418,244171,252247
일산동구,293752,142564,151188,293429,142368,151061,293128,142193,150935
일산서구,288976,140041,148935,288680,139892,148788,288417,139711,148706
과천시,78654,38640,40014,78929,38755,40174,79397,38985,40412
구리시,188709,93443,95266,188671,93379,95292,188525,93300,95225
남양주시,735649,365298,370351,735521,365250,370271,734990,364968,370022
풍양출장소,0,0,0,0,0,0,0,0,0
오산시,229247,119410,109837,229121,119352,109769,229145,119368,109777
시흥시,517336,270176,247160,518072,270537,247535,518299,270648,247651
군포시,265252,131609,133643,264857,131406,133451,264624,131266,133358
의왕시,159246,78962,80284,158882,78785,80097,158387,78534,79853
하남시,326768,162956,163812,326913,163015,163898,327255,163173,164082
용인시,1073513,532590,540923,1074744,533308,541436,1075317,533564,541753
처인구,258718,132855,125863,260187,133742,126445,261482,134412,127070
