"행정구역","2023년05월_계_총인구수","2023년05월_계_연령구간인구수","2023년05월_계_0~9세","2023년05월_계_10~19세","2023년05월_계_20~29세","2023년05월_계_30~39세","2023년05월_계_40~49세","2023년05월_계_50~59세","2023년05월_계_60~69세","2023년05월_계_70~79세","2023년05월_계_80~89세","2023년05월_계_90~99세","2023년05월_계_100세 이상","2023년05월_남_총인구수","2023년05월_남_연령구간인구수","2023년05월_남_0~9세","2023년05월_남_10~19세","2023년05월_남_20~29세","2023년05월_남_30~39세","2023년05월_남_40~49세","2023년05월_남_50~59세","2023년05월_남_60~69세","2023년05월_남_70~79세","2023년05월_남_80~89세","2023년05월_남_90~99세","2023년05월_남_100세 이상","2023년05월_여_총인구수","2023년05월_여_연령구간인구수","2023년05월_여_0~9세","2023년05월_여_10~19세","2023년05월_여_20~29세","2023년05월_여_30~39세","2023년05월_여_40~49세","2023년05월_여_50~59세","2023년05월_여_60~69세","2023년05월_여_70~79세","2023년05월_여_80~89세","2023년05월_여_90~99세","2023년05월_여_100세 이상"
"서울특별시  (1100000000)","9,418,885","9,418,885","530,837","744,507","1,379,056","1,425,785","1,435,754","1,490,647","1,311,328","723,982","331,600","43,937","1,452","4,560,702","4,560,702","272,342","380,600","657,023","713,169","710,435","733,157","620,206","328,000","133,897","11,555","318","4,858,183","4,858,183","258,495","363,907","722,033","712,616","725,319","757,490","691,122","395,982","197,703","32,382","1,134"
"서울특별시 종로구 (1111000000)","140,601","140,601","6,125","10,069","21,929","19,345","19,563","24,007","20,542","11,443","6,609","935","34","67,923","67,923","3,085","4,969","10,373","9,649","9,460","11,893","10,351","5,161","2,670","302","10","72,678","72,678","3,040","5,100","11,556","9,696","10,103","12,114","10,191","6,282","3,939","633","24"
"서울특별시 종로구 청운효자동(1111051500)","11,517","11,517","629","1,116","1,411","1,550","1,965","1,899","1,399","915","552","78","3","5,282","5,282","324","584","696","699","864","846","650","363","230","25","1","6,235","6,235","305","532","715","851","1,101","1,053","749","552","322","53","2"
"서울특별시 종로구 사직동(1111053000)","9,104","9,104","494","665","1,078","1,439","1,410","1,494","1,240","692","502","86","4","4,040","4,040","251","287","461","612","630","683","584","283","215","32","2","5,064","5,064","243","378","617","827","780","811","656","409","287","54","2"
"서울특별시 종로구 삼청동(1111054000)","2,291","2,291","82","169","264","294","320","350","393","241","150","26","2","1,094","1,094","38","100","124","138","150","177","185","113","55","13","1","1,197","1,197","44","69","140","156","170","173","208","128","95","13","1"
"서울특별시 종로구 부암동(1111055000)","9,133","9,133","397","854","1,133","1,150","1,394","1,643","1,332","737","418","71","4","4,319","4,319","185","474","578","564","619","754","614","340","176","15","0","4,814","4,814","212","380","555","586","775","889","718","397","242","56","4"
"서울특별시 종로구 평창동(1111056000)","17,464","17,464","1,028","1,521","2,119","2,073","2,518","3,151","2,736","1,362","811","136","9","8,143","8,143","551","736","1,043","988","1,133","1,404","1,303","613","332","38","2","9,321","9,321","477","785","1,076","1,085","1,385","1,747","1,433","749","479","98","7"
"서울특별시 종로구 무악동(1111057000)","8,000","8,000","555","937","849","845","1,293","1,419","1,093","590","371","45","3","3,681","3,681","246","406","395","399","597","713","509","262","140","14","0","4,319","4,319","309","531","454","446","696","706","584","328","231","31","3"
"서울특별시 종로구 교남동(1111058000)","9,759","9,759","742","815","1,106","1,469","1,691","1,648","1,180","689","376","43","0","4,488","4,488","373","394","503","666","780","799","538","265","158","12","0","5,271","5,271","369","421","603","803","911","849","642","424","218","31","0"
"서울특별시 종로구 가회동(1111060000)","3,926","3,926","161","308","427","518","635","689","568","379","208","33","0","1,824","1,824","92","156","196","244","297","330","265","154","82","8","0","2,102","2,102","69","152","231","274","338","359","303","225","126","25","0"
"서울특별시 종로구 종로1.2.3.4가동(1111061500)","6,722","6,722","156","209","967","959","850","1,124","1,331","707","371","46","2","4,091","4,091","83","105","484","560","533","765","917","436","192","15","1","2,631","2,631","73","104","483","399","317","359","414","271","179","31","1"
"서울특별시 종로구 종로5.6가동(1111063000)","5,426","5,426","153","213","1,210","875","570","874","786","475","238","32","0","2,867","2,867","73","97","555","494","332","506","470","220","109","11","0","2,559","2,559","80","116","655","381","238","368","316","255","129","21","0"
"서울특별시 종로구 이화동(1111064000)","7,031","7,031","190","329","1,542","1,225","835","1,023","923","583","335","46","0","3,340","3,340","93","163","701","622","421","504","438","263","116","19","0","3,691","3,691","97","166","841","603","414","519","485","320","219","27","0"
"서울특별시 종로구 혜화동(1111065000)","16,080","16,080","538","1,294","4,358","1,980","1,984","2,311","1,690","1,088","726","105","6","7,699","7,699","267","628","2,132","1,043","963","1,098","818","436","280","31","3","8,381","8,381","271","666","2,226","937","1,021","1,213","872","652","446","74","3"
"서울특별시 종로구 창신제1동(1111067000)","4,611","4,611","108","185","566","605","503","881","1,013","468","259","23","0","2,439","2,439","55","99","287","351","260","477","563","239","102","6","0","2,172","2,172","53","86","279","254","243","404","450","229","157","17","0"
"서울특별시 종로구 창신제2동(1111068000)","7,598","7,598","171","348","1,004","883","842","1,693","1,444","783","384","46","0","3,911","3,911","91","186","519","515","461","880","743","350","148","18","0","3,687","3,687","80","162","485","368","381","813","701","433","236","28","0"
"서울특별시 종로구 창신제3동(1111069000)","6,417","6,417","317","436","846","910","823","1,170","1,083","502","285","45","0","3,145","3,145","160","224","441","461","408","568","542","224","95","22","0","3,272","3,272","157","212","405","449","415","602","541","278","190","23","0"
"서울특별시 종로구 숭인제1동(1111070000)","5,768","5,768","200","350","705","805","828","1,085","966","514","274","40","1","2,784","2,784","102","176","336","412","419","542","459","236","92","10","0","2,984","2,984","98","174","369","393","409","543","507","278","182","30","1"
"서울특별시 종로구 숭인제2동(1111071000)","9,754","9,754","204","320","2,344","1,765","1,102","1,553","1,365","718","349","34","0","4,776","4,776","101","154","922","881","593","847","753","364","148","13","0","4,978","4,978","103","166","1,422","884","509","706","612","354","201","21","0"
"서울특별시 중구 (1114000000)","121,346","121,346","5,855","6,293","17,674","20,375","16,898","19,249","18,268","10,366","5,483","857","28","58,845","58,845","2,970","3,123","8,183","10,225","8,571","9,675","9,088","4,712","2,064","228","6","62,501","62,501","2,885","3,170","9,491","10,150","8,327","9,574","9,180","5,654","3,419","629","22"
"서울특별시 중구 소공동(1114052000)","2,215","2,215","152","132","240","480","502","321","234","102","44","8","0","1,051","1,051","85","42","88","217","256","167","124","52","17","3","0","1,164","1,164","67","90","152","263","246","154","110","50","27","5","0"
"서울특별시 중구 회현동(1114054000)","4,470","4,470","170","205","440","531","567","780","969","514","244","48","2","2,326","2,326","86","109","211","255","294","428","562","257","113","11","0","2,144","2,144","84","96","229","276","273","352","407","257","131","37","2"
"서울특별시 중구 명동(1114055000)","2,698","2,698","67","133","332","367","379","455","496","281","159","29","0","1,149","1,149","39","62","136","192","163","201","194","110","45","7","0","1,549","1,549","28","71","196","175","216","254","302","171","114","22","0"
"서울특별시 중구 필동(1114057000)","3,958","3,958","154","192","732","677","457","571","609","313","208","44","1","2,050","2,050","82","91","378","355","243","334","316","158","81","12","0","1,908","1,908","72","101","354","322","214","237","293","155","127","32","1"
"서울특별시 중구 장충동(1114058000)","4,591","4,591","137","295","1,259","653","515","595","544","351","210","32","0","2,411","2,411","79","146","709","375","272","308","274","160","79","9","0","2,180","2,180","58","149","550","278","243","287","270","191","131","23","0"
"서울특별시 중구 광희동(1114059000)","5,675","5,675","116","194","1,200","1,156","674","750","842","500","213","30","0","2,829","2,829","62","87","505","608","349","421","457","240","89","11","0","2,846","2,846","54","107","695","548","325","329","385","260","124","19","0"
"서울특별시 중구 을지로동(1114060500)","2,515","2,515","120","65","324","638","355","334","383","201","86","9","0","1,431","1,431","52","24","151","355","195","223","261","122","44","4","0","1,084","1,084","68","41","173","283","160","111","122","79","42","5","0"
"서울특별시 중구 신당동(1114061500)","7,512","7,512","246","248","1,308","1,325","1,010","1,232","1,135","647","307","53","1","3,705","3,705","105","109","564","675","542","670","592","318","118","12","0","3,807","3,807","141","139","744","650","468","562","543","329","189","41","1"
"서울특별시 중구 다산동(1114062500)","13,410","13,410","464","695","2,151","2,196","1,765","2,184","2,034","1,189","645","84","3","6,487","6,487","239","375","1,026","1,132","908","1,063","930","546","246","21","1","6,923","6,923","225","320","1,125","1,064","857","1,121","1,104","643","399","63","2"
"서울특별시 중구 약수동(1114063500)","16,303","16,303","869","911","1,825","2,266","2,292","2,640","2,736","1,650","948","161","5","7,521","7,521","419","458","875","1,104","1,092","1,217","1,261","718","335","42","0","8,782","8,782","450","453","950","1,162","1,200","1,423","1,475","932","613","119","5"
"서울특별시 중구 청구동(1114064500)","13,110","13,110","652","770","1,675","2,132","1,710","2,144","2,084","1,152","692","96","3","6,193","6,193","328","384","810","1,054","842","1,022","995","483","251","23","1","6,917","6,917","324","386","865","1,078","868","1,122","1,089","669","441","73","2"
"서울특별시 중구 신당제5동(1114065000)","10,130","10,130","497","493","1,527","1,718","1,424","1,779","1,417","820","396","56","3","4,905","4,905","249","229","679","863","740","922","704","350","152","16","1","5,225","5,225","248","264","848","855","684","857","713","470","244","40","2"
"서울특별시 중구 동화동(1114066500)","9,984","9,984","587","783","1,174","1,287","1,391","1,847","1,575","800","468","71","1","4,806","4,806","318","400","559","641","675","878","785","371","156","23","0","5,178","5,178","269","383","615","646","716","969","790","429","312","48","1"
"서울특별시 중구 황학동(1114067000)","12,818","12,818","676","472","2,251","2,899","1,850","1,752","1,575","894","384","63","2","6,079","6,079","356","221","923","1,451","928","855","779","410","142","14","0","6,739","6,739","320","251","1,328","1,448","922","897","796","484","242","49","2"
"서울특별시 중구 중림동(1114068000)","11,957","11,957","948","705","1,236","2,050","2,007","1,865","1,635","952","479","73","7","5,902","5,902","471","386","569","948","1,072","966","854","417","196","20","3","6,055","6,055","477","319","667","1,102","935","899","781","535","283","53","4"
"서울특별시 용산구 (1117000000)","217,438","217,438","11,567","14,111","31,150","38,010","32,096","35,009","29,529","15,597","8,938","1,379","52","104,495","104,495","5,879","7,150","14,434","18,932","15,838","17,168","14,397","6,851","3,434","402","10","112,943","112,943","5,688","6,961","16,716","19,078","16,258","17,841","15,132","8,746","5,504","977","42"
"서울특별시 용산구 후암동(1117051000)","16,172","16,172","754","1,108","2,256","2,788","2,359","2,632","2,270","1,236","661","99","9","7,861","7,861","383","602","1,120","1,475","1,141","1,295","1,058","545","220","19","3","8,311","8,311","371","506","1,136","1,313","1,218","1,337","1,212","691","441","80","6"
"서울특별시 용산구 용산2가동(1117052000)","9,006","9,006","267","439","1,377","1,629","1,239","1,270","1,360","872","476","77","0","4,348","4,348","139","224","693","851","658","581","624","379","179","20","0","4,658","4,658","128","215","684","778","581","689","736","493","297","57","0"
"서울특별시 용산구 남영동(1117053000)","6,989","6,989","134","232","821","1,032","884","1,509","1,428","631","285","29","4","4,241","4,241","72","126","365","552","536","1,038","1,003","398","138","12","1","2,748","2,748","62","106","456","480","348","471","425","233","147","17","3"
"서울특별시 용산구 청파동(1117055500)","19,070","19,070","527","1,022","4,107","3,371","2,398","2,997","2,471","1,361","728","85","3","8,870","8,870","258","487","1,582","1,793","1,218","1,488","1,179","560","285","19","1","10,200","10,200","269","535","2,525","1,578","1,180","1,509","1,292","801","443","66","2"
"서울특별시 용산구 원효로제1동(1117056000)","17,139","17,139","1,147","966","2,892","4,143","2,681","2,223","1,801","829","389","65","3","7,975","7,975","579","499","1,099","1,936","1,332","1,102","885","370","154","18","1","9,164","9,164","568","467","1,793","2,207","1,349","1,121","916","459","235","47","2"
"서울특별시 용산구 원효로제2동(1117057000)","13,690","13,690","775","1,035","1,930","2,223","2,036","2,221","1,878","968","540","80","4","6,432","6,432","374","437","863","1,106","1,008","1,082","903","442","192","25","0","7,258","7,258","401","598","1,067","1,117","1,028","1,139","975","526","348","55","4"
"서울특별시 용산구 효창동(1117058000)","10,769","10,769","797","697","1,616","1,992","1,632","1,728","1,214","648","391","53","1","5,117","5,117","389","380","765","946","804","808","590","269","149","17","0","5,652","5,652","408","317","851","1,046","828","920","624","379","242","36","1"
"서울특별시 용산구 용문동(1117059000)","11,464","11,464","621","662","1,653","1,948","1,576","1,868","1,620","964","490","60","2","5,497","5,497","298","344","799","989","781","918","748","409","201","10","0","5,967","5,967","323","318","854","959","795","950","872","555","289","50","2"
"서울특별시 용산구 한강로동(1117062500)","21,135","21,135","1,239","995","3,249","4,901","2,853","3,248","2,641","1,215","687","103","4","10,024","10,024","647","514","1,367","2,305","1,388","1,550","1,336","587","298","32","0","11,111","11,111","592","481","1,882","2,596","1,465","1,698","1,305","628","389","71","4"
"서울특별시 용산구 이촌제1동(1117063000)","25,015","25,015","2,220","2,686","2,557","2,952","4,203","4,393","2,996","1,635","1,143","223","7","11,747","11,747","1,156","1,368","1,258","1,309","1,894","2,094","1,463","695","427","82","1","13,268","13,268","1,064","1,318","1,299","1,643","2,309","2,299","1,533","940","716","141","6"
"서울특별시 용산구 이촌제2동(1117064000)","7,979","7,979","457","478","802","1,291","1,143","1,289","1,342","721","382","71","3","3,729","3,729","217","235","407","645","556","616","585","316","131","20","1","4,250","4,250","240","243","395","646","587","673","757","405","251","51","2"
"서울특별시 용산구 이태원제1동(1117065000)","6,108","6,108","203","245","950","1,107","797","916","1,002","520","294","73","1","3,031","3,031","96","120","514","633","406","429","484","203","121","25","0","3,077","3,077","107","125","436","474","391","487","518","317","173","48","1"
"서울특별시 용산구 이태원제2동(1117066000)","8,667","8,667","365","428","1,255","1,638","1,277","1,244","1,168","735","486","69","2","4,050","4,050","187","192","619","821","625","586","523","300","172","25","0","4,617","4,617","178","236","636","817","652","658","645","435","314","44","2"
"서울특별시 용산구 한남동(1117068500)","19,185","19,185","1,069","1,101","2,244","3,597","3,111","3,030","2,689","1,450","782","111","1","9,268","9,268","556","573","1,137","1,733","1,564","1,435","1,282","631","333","24","0","9,917","9,917","513","528","1,107","1,864","1,547","1,595","1,407","819","449","87","1"
"서울특별시 용산구 서빙고동(1117069000)","12,527","12,527","682","1,391","1,605","1,403","2,221","2,197","1,586","727","611","99","5","6,038","6,038","359","681","807","701","1,063","1,053","812","313","215","32","2","6,489","6,489","323","710","798","702","1,158","1,144","774","414","396","67","3"
"서울특별시 용산구 보광동(1117070000)","12,523","12,523","310","626","1,836","1,995","1,686","2,244","2,063","1,085","593","82","3","6,267","6,267","169","368","1,039","1,137","864","1,093","922","434","219","22","0","6,256","6,256","141","258","797","858","822","1,151","1,141","651","374","60","3"
"서울특별시 성동구 (1120000000)","279,760","279,760","17,538","18,561","41,781","45,463","41,644","44,770","38,459","20,190","10,082","1,227","45","135,931","135,931","9,011","9,238","20,380","22,241","20,910","22,074","18,799","9,029","3,909","326","14","143,829","143,829","8,527","9,323","21,401","23,222","20,734","22,696","19,660","11,161","6,173","901","31"
"서울특별시 성동구 왕십리제2동(1120052000)","16,236","16,236","1,128","1,088","2,232","2,779","2,412","2,620","2,237","1,137","527","76","0","7,816","7,816","560","555","1,054","1,340","1,221","1,273","1,085","492","212","24","0","8,420","8,420","568","533","1,178","1,439","1,191","1,347","1,152","645","315","52","0"
"서울특별시 성동구 왕십리도선동(1120053500)","26,423","26,423","2,002","1,691","4,143","4,410","3,982","4,301","3,271","1,622","872","126","3","12,431","12,431","1,040","869","1,794","2,004","1,998","2,025","1,620","706","349","26","0","13,992","13,992","962","822","2,349","2,406","1,984","2,276","1,651","916","523","100","3"
"서울특별시 성동구 마장동(1120054000)","21,914","21,914","1,023","1,493","4,170","3,169","2,709","3,468","3,169","1,711","894","106","2","10,817","10,817","519","737","2,101","1,652","1,396","1,688","1,550","798","342","34","0","11,097","11,097","504","756","2,069","1,517","1,313","1,780","1,619","913","552","72","2"
"서울특별시 성동구 사근동(1120055000)","12,101","12,101","352","861","4,910","1,580","1,055","1,266","978","679","392","28","0","6,341","6,341","184","403","2,757","900","545","617","474","284","169","8","0","5,760","5,760","168","458","2,153","680","510","649","504","395","223","20","0"
"서울특별시 성동구 행당제1동(1120056000)","13,750","13,750","884","999","2,154","2,202","2,084","2,191","1,748","935","476","69","8","6,602","6,602","457","474","1,001","1,101","1,014","1,042","866","442","181","21","3","7,148","7,148","427","525","1,153","1,101","1,070","1,149","882","493","295","48","5"
"서울특별시 성동구 행당제2동(1120057000)","22,988","22,988","1,597","1,907","2,676","3,409","3,648","3,969","3,026","1,775","873","105","3","10,707","10,707","787","862","1,252","1,592","1,760","1,926","1,416","764","321","27","0","12,281","12,281","810","1,045","1,424","1,817","1,888","2,043","1,610","1,011","552","78","3"
"서울특별시 성동구 응봉동(1120058000)","14,959","14,959","993","1,538","1,697","2,010","2,662","2,458","1,823","1,109","600","67","2","7,104","7,104","528","786","794","969","1,253","1,201","837","479","237","20","0","7,855","7,855","465","752","903","1,041","1,409","1,257","986","630","363","47","2"
"서울특별시 성동구 금호1가동(1120059000)","14,947","14,947","1,123","1,077","1,569","2,325","2,533","2,332","2,178","1,156","583","69","2","7,114","7,114","585","549","765","1,084","1,281","1,123","992","511","208","16","0","7,833","7,833","538","528","804","1,241","1,252","1,209","1,186","645","375","53","2"
"서울특별시 성동구 금호2.3가동(1120061500)","22,073","22,073","1,580","1,302","2,531","3,808","3,570","3,542","3,082","1,680","860","111","7","10,557","10,557","826","650","1,278","1,863","1,756","1,686","1,436","719","310","30","3","11,516","11,516","754","652","1,253","1,945","1,814","1,856","1,646","961","550","81","4"
"서울특별시 성동구 금호4가동(1120062000)","14,264","14,264","1,220","942","1,354","2,382","2,595","2,149","1,952","1,082","521","63","4","6,761","6,761","646","477","683","1,082","1,288","1,059","878","454","180","12","2","7,503","7,503","574","465","671","1,300","1,307","1,090","1,074","628","341","51","2"
"서울특별시 성동구 옥수동(1120064500)","25,492","25,492","2,323","1,635","2,496","4,532","4,425","3,862","3,397","1,798","891","129","4","11,824","11,824","1,137","803","1,181","2,030","2,175","1,795","1,535","792","336","38","2","13,668","13,668","1,186","832","1,315","2,502","2,250","2,067","1,862","1,006","555","91","2"
"서울특별시 성동구 성수1가제1동(1120065000)","15,630","15,630","886","948","2,244","2,816","2,103","2,821","2,399","928","434","48","3","7,781","7,781","469","496","1,150","1,390","1,047","1,372","1,234","447","163","11","2","7,849","7,849","417","452","1,094","1,426","1,056","1,449","1,165","481","271","37","1"
"서울특별시 성동구 성수1가제2동(1120066000)","12,091","12,091","616","775","1,796","2,318","1,784","1,860","1,660","845","391","46","0","5,912","5,912","309","406","850","1,155","862","954","804","394","165","13","0","6,179","6,179","307","369","946","1,163","922","906","856","451","226","33","0"
"서울특별시 성동구 성수2가제1동(1120067000)","14,903","14,903","627","756","1,926","2,453","1,940","2,635","2,754","1,204","550","56","2","7,734","7,734","330","372","992","1,319","1,054","1,392","1,474","561","225","15","0","7,169","7,169","297","384","934","1,134","886","1,243","1,280","643","325","41","2"
"서울특별시 성동구 성수2가제3동(1120069000)","10,207","10,207","476","491","1,731","1,829","1,369","1,607","1,482","791","388","41","2","5,105","5,105","254","249","815","897","714","829","796","383","156","11","1","5,102","5,102","222","242","916","932","655","778","686","408","232","30","1"
"서울특별시 성동구 송정동(1120072000)","9,922","9,922","416","501","1,537","1,540","1,357","1,746","1,688","783","318","35","1","5,244","5,244","230","268","776","869","753","938","907","364","130","9","0","4,678","4,678","186","233","761","671","604","808","781","419","188","26","1"
"서울특별시 성동구 용답동(1120079000)","11,860","11,860","292","557","2,615","1,901","1,416","1,943","1,615","955","512","52","2","6,081","6,081","150","282","1,137","994","793","1,154","895","439","225","11","1","5,779","5,779","142","275","1,478","907","623","789","720","516","287","41","1"
"서울특별시 광진구 (1121500000)","336,580","336,580","15,853","24,232","59,804","54,746","48,572","52,963","45,271","23,041","10,732","1,324","42","162,020","162,020","8,185","12,199","27,867","27,240","23,894","25,773","21,620","10,490","4,379","360","13","174,560","174,560","7,668","12,033","31,937","27,506","24,678","27,190","23,651","12,551","6,353","964","29"
"서울특별시 광진구 화양동(1121571000)","23,406","23,406","314","773","10,300","4,704","2,066","2,004","1,682","1,004","499","59","1","11,106","11,106","157","325","4,427","2,467","1,123","1,099","822","441","228","17","0","12,300","12,300","157","448","5,873","2,237","943","905","860","563","271","42","1"
"서울특별시 광진구 군자동(1121573000)","19,318","19,318","685","993","4,297","3,552","2,517","2,652","2,545","1,353","655","67","2","9,553","9,553","361","522","2,066","1,841","1,282","1,339","1,222","646","263","11","0","9,765","9,765","324","471","2,231","1,711","1,235","1,313","1,323","707","392","56","2"
"서울특별시 광진구 중곡제1동(1121574000)","15,416","15,416","594","684","2,919","3,040","1,942","2,369","2,173","1,131","503","60","1","7,333","7,333","300","359","1,227","1,475","1,032","1,172","1,018","523","212","14","1","8,083","8,083","294","325","1,692","1,565","910","1,197","1,155","608","291","46","0"
"서울특별시 광진구 중곡제2동(1121575000)","20,801","20,801","876","1,260","3,412","3,711","2,867","3,372","3,056","1,558","615","70","4","9,807","9,807","445","643","1,537","1,799","1,416","1,540","1,441","703","269","13","1","10,994","10,994","431","617","1,875","1,912","1,451","1,832","1,615","855","346","57","3"
"서울특별시 광진구 중곡제3동(1121576000)","15,906","15,906","617","854","2,409","2,751","2,107","2,718","2,482","1,334","579","54","1","7,858","7,858","341","438","1,141","1,439","1,107","1,335","1,219","592","229","16","1","8,048","8,048","276","416","1,268","1,312","1,000","1,383","1,263","742","350","38","0"
"서울특별시 광진구 중곡제4동(1121577000)","27,841","27,841","1,090","1,689","4,054","4,069","3,647","5,097","4,684","2,395","1,014","98","4","13,588","13,588","574","877","2,039","2,106","1,834","2,401","2,208","1,108","418","21","2","14,253","14,253","516","812","2,015","1,963","1,813","2,696","2,476","1,287","596","77","2"
"서울특별시 광진구 능동(1121578000)","11,180","11,180","477","511","2,264","2,488","1,623","1,404","1,311","711","356","34","1","5,130","5,130","241","253","980","1,129","797","663","588","314","157","8","0","6,050","6,050","236","258","1,284","1,359","826","741","723","397","199","26","1"
"서울특별시 광진구 광장동(1121581000)","34,061","34,061","2,538","5,404","3,880","3,328","6,907","6,013","3,392","1,538","894","161","6","16,489","16,489","1,338","2,745","1,932","1,473","3,124","3,030","1,697","742","354","52","2","17,572","17,572","1,200","2,659","1,948","1,855","3,783","2,983","1,695","796","540","109","4"
"서울특별시 광진구 자양제1동(1121582000)","22,134","22,134","789","1,414","4,004","3,834","3,216","3,399","3,057","1,581","756","83","1","10,772","10,772","401","739","1,943","1,986","1,606","1,667","1,447","671","290","22","0","11,362","11,362","388","675","2,061","1,848","1,610","1,732","1,610","910","466","61","1"
"서울특별시 광진구 자양제2동(1121583000)","23,745","23,745","1,285","1,701","3,255","3,646","3,646","3,906","3,693","1,799","716","96","2","11,521","11,521","653","885","1,594","1,846","1,795","1,839","1,743","836","302","27","1","12,224","12,224","632","816","1,661","1,800","1,851","2,067","1,950","963","414","69","1"
"서울특별시 광진구 자양제3동(1121584000)","27,434","27,434","2,008","2,458","3,537","3,842","4,277","4,635","3,803","1,737","970","161","6","13,104","13,104","1,059","1,182","1,763","1,779","2,036","2,210","1,824","804","391","54","2","14,330","14,330","949","1,276","1,774","2,063","2,241","2,425","1,979","933","579","107","4"
"서울특별시 광진구 자양제4동(1121584700)","17,958","17,958","619","770","2,986","2,982","2,259","2,821","3,058","1,646","739","77","1","8,932","8,932","322","375","1,450","1,571","1,182","1,472","1,509","739","291","20","1","9,026","9,026","297","395","1,536","1,411","1,077","1,349","1,549","907","448","57","0"
"서울특별시 광진구 구의제1동(1121585000)","23,365","23,365","897","1,218","4,866","4,642","3,255","3,442","2,857","1,411","684","90","3","11,174","11,174","443","602","2,201","2,346","1,636","1,668","1,358","617","273","30","0","12,191","12,191","454","616","2,665","2,296","1,619","1,774","1,499","794","411","60","3"
"서울특별시 광진구 구의제2동(1121586000)","25,875","25,875","1,415","2,171","3,404","3,663","4,065","4,460","3,727","1,991","879","95","5","12,379","12,379","719","1,109","1,652","1,796","1,982","2,116","1,740","896","349","20","0","13,496","13,496","696","1,062","1,752","1,867","2,083","2,344","1,987","1,095","530","75","5"
"서울특별시 광진구 구의제3동(1121587000)","28,140","28,140","1,649","2,332","4,217","4,494","4,178","4,671","3,751","1,852","873","119","4","13,274","13,274","831","1,145","1,915","2,187","1,942","2,222","1,784","858","353","35","2","14,866","14,866","818","1,187","2,302","2,307","2,236","2,449","1,967","994","520","84","2"
"서울특별시 동대문구 (1123000000)","337,680","337,680","18,206","23,024","56,613","48,572","48,064","51,700","48,145","27,937","13,741","1,621","57","165,868","165,868","9,258","11,631","27,030","25,076","24,745","26,128","23,443","12,553","5,544","448","12","171,812","171,812","8,948","11,393","29,583","23,496","23,319","25,572","24,702","15,384","8,197","1,173","45"
"서울특별시 동대문구 용신동(1123053600)","35,437","35,437","1,685","1,733","6,701","6,451","4,917","5,073","4,738","2,593","1,385","154","7","17,527","17,527","830","886","2,960","3,295","2,606","2,677","2,453","1,192","581","46","1","17,910","17,910","855","847","3,741","3,156","2,311","2,396","2,285","1,401","804","108","6"
"서울특별시 동대문구 제기동(1123054500)","24,103","24,103","866","1,295","4,508","3,108","2,741","3,656","3,869","2,547","1,349","157","7","12,340","12,340","439","679","2,393","1,730","1,500","1,941","1,916","1,149","545","47","1","11,763","11,763","427","616","2,115","1,378","1,241","1,715","1,953","1,398","804","110","6"
"서울특별시 동대문구 전농제1동(1123056000)","28,722","28,722","1,594","1,800","4,440","3,951","4,004","4,705","4,383","2,447","1,252","139","7","14,280","14,280","802","906","2,168","2,025","2,130","2,429","2,217","1,082","490","31","0","14,442","14,442","792","894","2,272","1,926","1,874","2,276","2,166","1,365","762","108","7"
"서울특별시 동대문구 전농제2동(1123057000)","18,104","18,104","1,025","1,612","2,002","2,086","2,752","3,163","2,891","1,598","886","86","3","8,670","8,670","534","800","986","1,072","1,331","1,518","1,313","708","376","31","1","9,434","9,434","491","812","1,016","1,014","1,421","1,645","1,578","890","510","55","2"
"서울특별시 동대문구 답십리제1동(1123060000)","28,057","28,057","2,399","1,947","3,846","4,785","4,744","4,061","3,509","1,782","863","114","7","13,516","13,516","1,208","976","1,717","2,263","2,432","2,001","1,760","812","320","26","1","14,541","14,541","1,191","971","2,129","2,522","2,312","2,060","1,749","970","543","88","6"
"서울특별시 동대문구 답십리제2동(1123061000)","27,699","27,699","1,629","1,778","3,260","4,227","3,866","4,630","4,433","2,470","1,253","152","1","13,392","13,392","802","876","1,638","2,151","1,952","2,257","2,069","1,103","500","43","1","14,307","14,307","827","902","1,622","2,076","1,914","2,373","2,364","1,367","753","109","0"
"서울특별시 동대문구 장안제1동(1123065000)","37,814","37,814","2,191","2,564","4,975","6,062","6,182","5,810","5,623","3,069","1,199","130","9","18,668","18,668","1,154","1,273","2,299","3,136","3,185","2,927","2,705","1,451","506","31","1","19,146","19,146","1,037","1,291","2,676","2,926","2,997","2,883","2,918","1,618","693","99","8"
"서울특별시 동대문구 장안제2동(1123066000)","32,488","32,488","2,516","2,868","3,717","4,721","5,716","5,003","4,466","2,420","947","111","3","16,115","16,115","1,296","1,566","1,848","2,348","2,885","2,529","2,106","1,134","381","21","1","16,373","16,373","1,220","1,302","1,869","2,373","2,831","2,474","2,360","1,286","566","90","2"
"서울특별시 동대문구 청량리동(1123070500)","18,853","18,853","658","983","2,223","2,122","2,230","3,125","3,796","2,364","1,170","180","2","9,343","9,343","324","508","1,146","1,167","1,177","1,597","1,874","1,044","454","52","0","9,510","9,510","334","475","1,077","955","1,053","1,528","1,922","1,320","716","128","2"
"서울특별시 동대문구 회기동(1123071000)","10,513","10,513","325","762","3,507","1,438","1,195","1,219","970","629","411","55","2","4,994","4,994","157","356","1,601","788","592","621","448","259","157","13","2","5,519","5,519","168","406","1,906","650","603","598","522","370","254","42","0"
