"행정구역","2023년05월_계_총인구수","2023년05월_계_연령구간인구수","2023년05월_계_0~9세","2023년05월_계_10~19세","2023년05월_계_20~29세","2023년05월_계_30~39세","2023년05월_계_40~49세","2023년05월_계_50~59세","2023년05월_계_60~69세","2023년05월_계_70~79세","2023년05월_계_80~89세","2023년05월_계_90~99세","2023년05월_계_100세 이상","2023년05월_남_총인구수","2023년05월_남_연령구간인구수","2023년05월_남_0~9세","2023년05월_남_10~19세","2023년05월_남_20~29세","2023년05월_남_30~39세","2023년05월_남_40~49세","2023년05월_남_50~59세","2023년05월_남_60~69세","2023년05월_남_70~79세","2023년05월_남_80~89세","2023년05월_남_90~99세","2023년05월_남_100세 이상","2023년05월_여_총인구수","2023년05월_여_연령구간인구수","2023년05월_여_0~9세","2023년05월_여_10~19세","2023년05월_여_20~29세","2023년05월_여_30~39세","2023년05월_여_40~49세","2023년05월_여_50~59세","2023년05월_여_60~69세","2023년05월_여_70~79세","2023년05월_여_80~89세","2023년05월_여_90~99세","2023년05월_여_100세 이상"
"충청남도 부여군 부여읍(4476025000)","18,813","18,813","809","1,625","1,799","1,434","2,272","3,349","3,781","2,230","1,291","217","6","9,319","9,319","428","849","1,044","743","1,170","1,705","1,837","1,017","477","49","0","9,494","9,494","381","776","755","691","1,102","1,644","1,944","1,213","814","168","6"
"충청남도 부여군 규암면(4476031000)","11,736","11,736","788","1,194","1,187","998","1,667","1,907","1,989","1,094","779","130","3","5,762","5,762","414","619","618","487","835","1,027","969","489","271","33","0","5,974","5,974","374","575","569","511","832","880","1,020","605","508","97","3"
"충청남도 부여군 은산면(4476032000)","3,583","3,583","82","172","217","139","283","558","996","622","447","65","2","1,816","1,816","49","81","134","88","162","303","516","306","156","20","1","1,767","1,767","33","91","83","51","121","255","480","316","291","45","1"
"충청남도 부여군 외산면(4476033000)","2,251","2,251","31","94","94","77","150","354","581","481","322","62","5","1,114","1,114","20","65","65","42","85","189","287","225","123","13","0","1,137","1,137","11","29","29","35","65","165","294","256","199","49","5"
"충청남도 부여군 내산면(4476034000)","1,500","1,500","34","59","47","60","91","219","411","311","228","40","0","755","755","19","36","30","34","51","119","224","153","77","12","0","745","745","15","23","17","26","40","100","187","158","151","28","0"
"충청남도 부여군 구룡면(4476035000)","2,254","2,254","48","111","107","92","180","343","515","441","353","62","2","1,118","1,118","28","62","60","54","113","187","261","202","132","19","0","1,136","1,136","20","49","47","38","67","156","254","239","221","43","2"
"충청남도 부여군 홍산면(4476036000)","2,734","2,734","81","130","133","117","234","385","678","522","390","62","2","1,327","1,327","44","68","79","70","130","198","347","230","144","17","0","1,407","1,407","37","62","54","47","104","187","331","292","246","45","2"
"충청남도 부여군 옥산면(4476037000)","1,376","1,376","15","52","57","44","89","192","379","296","209","43","0","668","668","7","22","32","31","57","104","195","144","69","7","0","708","708","8","30","25","13","32","88","184","152","140","36","0"
"충청남도 부여군 남면(4476038000)","1,753","1,753","32","74","84","58","131","212","442","353","306","60","1","855","855","22","42","49","38","81","114","226","150","119","14","0","898","898","10","32","35","20","50","98","216","203","187","46","1"
"충청남도 부여군 충화면(4476039000)","1,092","1,092","20","24","44","45","62","152","302","220","184","39","0","565","565","7","21","26","32","34","93","156","118","67","11","0","527","527","13","3","18","13","28","59","146","102","117","28","0"
"충청남도 부여군 양화면(4476040000)","1,627","1,627","32","47","52","48","107","192","437","325","324","63","0","769","769","16","25","27","30","59","98","228","155","116","15","0","858","858","16","22","25","18","48","94","209","170","208","48","0"
"충청남도 부여군 임천면(4476041000)","2,732","2,732","85","107","136","111","197","383","668","535","435","74","1","1,357","1,357","37","52","94","67","116","212","357","250","150","22","0","1,375","1,375","48","55","42","44","81","171","311","285","285","52","1"
"충청남도 부여군 장암면(4476042000)","2,598","2,598","62","96","124","127","188","364","635","475","432","94","1","1,327","1,327","33","62","78","73","123","206","356","217","151","27","1","1,271","1,271","29","34","46","54","65","158","279","258","281","67","0"
"충청남도 부여군 세도면(4476043000)","2,980","2,980","63","125","155","137","242","433","779","559","410","76","1","1,513","1,513","28","65","96","87","151","233","395","283","149","26","0","1,467","1,467","35","60","59","50","91","200","384","276","261","50","1"
"충청남도 부여군 석성면(4476044000)","2,721","2,721","73","194","175","116","251","491","657","411","299","52","2","1,432","1,432","41","111","99","76","153","296","346","204","96","10","0","1,289","1,289","32","83","76","40","98","195","311","207","203","42","2"
"충청남도 부여군 초촌면(4476045000)","2,050","2,050","47","87","79","108","165","283","605","321","304","50","1","1,038","1,038","26","49","45","58","111","159","324","157","98","11","0","1,012","1,012","21","38","34","50","54","124","281","164","206","39","1"
"충청남도 서천군 (4477000000)","49,620","49,620","1,901","3,102","3,298","2,972","5,081","7,858","10,881","7,842","5,640","1,025","20","24,518","24,518","963","1,586","1,915","1,645","2,759","4,295","5,490","3,612","2,005","245","3","25,102","25,102","938","1,516","1,383","1,327","2,322","3,563","5,391","4,230","3,635","780","17"
"충청남도 서천군 장항읍(4477025000)","11,027","11,027","512","808","957","893","1,354","1,921","2,126","1,460","871","121","4","5,539","5,539","266","413","535","477","729","1,069","1,053","653","310","33","1","5,488","5,488","246","395","422","416","625","852","1,073","807","561","88","3"
"충청남도 서천군 서천읍(4477025300)","12,982","12,982","803","1,341","1,179","932","1,744","2,224","2,265","1,455","878","158","3","6,323","6,323","389","702","676","483","818","1,137","1,096","672","306","44","0","6,659","6,659","414","639","503","449","926","1,087","1,169","783","572","114","3"
